product_id,type_of_product,category,brand,price
0176496920,0,1,0,23.61
0781776848,0,2,2,10.37
0840026080,0,1,3,32.00
0971007004,0,2,5,13.32
1587790319,0,2,2,14.82
1587792052,0,2,6,23.84
1587791420,0,2,7,24.45
1587792060,0,2,2,19.71
1587791803,0,2,8,24.95
1587791900,0,2,2,25.35
6095014417,0,3,14,6.99
6167396108,0,4,15,41.00
6184861840,0,5,16,86.55
6543552190,0,4,18,12.23
8410400243,0,3,25,27.00
8803000844,0,7,26,52.95
8805002275,0,8,27,20.61
8921463445,0,9,28,10.99
8956951837,0,9,29,14.99
9792284044,0,10,30,27.04
9820544807,0,1,32,368.79
9980454156,0,2,24,10.85
9980453931,0,2,35,19.19
B0000223J6,0,12,38,34.99
B0000223SM,0,12,39,29.99
B0000223SI,0,12,39,15.99
B0000223SK,0,12,39,17.99
B0000223SL,0,12,39,15.70
B0000223UV,0,3,41,10.24
B00002246K,0,12,43,3.99
B0000224J0,0,12,43,6.98
B0000224MN,0,5,44,29.78
B0000224MY,0,5,44,144.10
B0000224PT,0,14,46,21.81
B0000224PQ,0,14,46,47.19
B0000224PZ,0,5,47,134.99
B0000224NY,0,12,39,59.64
B00002254G,0,10,48,78.54
B00002254H,0,10,48,25.30
B0000225C2,0,9,49,5.71
B0000225F6,0,14,46,1.41
B0000225FX,0,14,46,37.34
B0000225G2,0,14,46,7.42
B0000225FE,0,14,46,5.71
B0000225FO,0,14,46,1.41
B0000225G9,0,14,46,1.41
B0000225GO,0,14,46,8.27
B0000225H3,0,14,46,73.52
B0000225GC,0,14,46,2.85
B0000225GX,0,14,46,60.00
B0000225GZ,0,14,46,72.99
B0000225GV,0,14,46,3.27
B0000225HC,0,14,46,23.00
B0000225HG,0,14,46,17.99
B0000225EP,0,14,46,16.50
B0000225HJ,0,14,46,22.50
B0000225HS,0,14,46,5.71
B0000225HE,0,14,46,14.99
B0000225GN,0,14,46,11.45
B0000225HQ,0,14,46,4.92
B0000225GH,0,14,46,15.00
B0000225HR,0,14,46,6.42
B0000225FF,0,14,46,2.85
B0000225GT,0,14,46,20.39
B0000225EU,0,14,46,1.41
B0000225GY,0,14,46,62.99
B0000225IO,0,14,46,13.51
B0000225HL,0,14,46,12.96
B0000225HN,0,14,46,23.99
B0000225HI,0,14,46,17.99
B0000225HP,0,14,46,4.92
B0000225H0,0,14,46,60.02
B0000225J5,0,14,50,56.98
B0000225G6,0,14,46,2.85
B0000225GU,0,14,46,21.21
B0000225J6,0,14,50,48.99
B0000225J0,0,14,37,63.02
B0000225HF,0,14,46,14.99
B0000225HT,0,14,46,5.71
B0000225KI,0,14,52,7.99
