asin,brand,avg_rating,activeness
B001BKEWF2,0,5.0,19.3624
B001GXRQW0,1,4.09,13508.1862
B001H53QE4,1,3.62,152.0087
B001H53QEO,1,3.0,57.7364
B001KMWN2K,2,2.5,38.6417
B001M1UVQO,3,1.0,38.5992
B001M1UVZA,3,5.0,57.249
B001M5GKHE,4,1.0,18.1364
B002BSHDJK,5,4.59,2078.4374
B002DN7XS4,6,1.0,350.502
B002H9RN0C,7,5.0,38.1283
B002MS7BPA,8,4.71,133.4938
B002NZXF9S,6,2.0,188.7818
B002O018DM,9,4.67,56.8104
B002O0536U,10,2.8,97.0919
B002OOBESC,11,4.89,171.5405
B002PY04EG,12,4.6,190.5729
B002QFXC7U,13,3.6,384.5897
B002QTM0Y2,14,4.0,19.0648
B002QTPZUI,14,5.0,19.0107
B002SC9DRO,15,5.0,57.4057
B002UKLD7M,16,4.5,188.1884
B002VFYGC0,6,5.0,19.0236
B002VG4AR0,17,3.0,58.0126
B002VG4BRO,18,5.0,19.4072
B002W8YL6W,19,3.33,57.751
B002XNLC04,20,4.35,438.5071
B002XNOVDE,21,4.25,151.6429
B002YEWXZ0,22,3.83,227.0735
B002YEWXMI,23,4.18,210.0578
B003755QI6,24,2.2,95.1813
B003CMYYGY,25,4.0,76.0765
B003NALDC8,26,5.0,18.9987
B003XNIBTS,27,2.75,77.1802
B003ZYIKDM,28,5.0,19.0921
B00414Y7Y6,29,4.0,381.8173
B0046IIHMK,30,4.75,75.8854
B004BVCHDC,31,2.5,37.5842
B004CG61UQ,14,5.0,18.9616
B004CZRZKW,32,4.0,75.88
B004D01QJ2,33,5.0,114.7501
B004KNWWPE,6,4.75,1113.4259
B004KNWWP4,6,4.72,1090.1709
B004KNWWR2,6,4.54,902.4353
B004KNWWRC,6,4.7,619.5318
B004KNWWT0,6,4.87,2180.917
B004KNWWRW,6,2.5,75.5297
B004KNWWQ8,6,5.0,37.9767
B004KNWWNG,6,4.83,225.3604
B004KNWWPO,6,4.79,790.748
B004KNWWXQ,6,4.71,131.5078
B004KNWWUE,6,4.82,629.349
B004KNWWYU,6,4.86,130.4219
B004KNWWWC,6,5.0,37.9208
B004KNWX3A,6,4.75,992.4651
B004KNWX1W,6,4.83,3099.8726
B004KNWWZE,6,4.87,1401.9405
B004KNWWSQ,6,4.0,76.0205
B004KNWX4Y,6,4.87,887.0079
B004KNWX12,6,4.69,243.6914
B004KNWX3U,6,4.7,14223.4882
B004KNWX62,6,5.0,55.8469
B004KNWX2Q,6,4.7,562.874
B004KNWX6C,6,4.84,11055.7608
B004KNWX44,6,4.64,207.0934
B004KNWX0S,6,4.79,4235.4509
B004KNWWV8,6,4.72,10215.1659
B004KNWX9O,6,4.79,262.1151
B004KNWXA8,6,4.56,1201.4989
B004KNWX9Y,6,4.72,1378.9296
B004KNWX7G,6,5.0,56.7649
B004KNWWQS,6,4.73,1190.0781
B004KNWWZY,6,4.74,1854.9357
B004KNWX8U,6,4.79,994.2013
B004KNWX0I,6,4.75,300.8408
B004KNWWMW,6,4.83,13051.3277
B004KNWX3K,6,5.0,222.5126
B004KNWX5I,6,4.22,432.664
B004KNWWPY,6,4.62,1347.2997
B004KNWX1C,6,5.0,244.0513
B004KNWWOA,6,4.78,2247.1361
B004KNWX6M,6,4.92,449.1218
B004KNWX80,6,4.78,601.1877
B004KNWX6W,6,4.91,426.4709
B004KNWWUY,6,4.76,2097.743
B004KNWWO0,6,4.61,955.588
B004KNWX94,6,4.92,2098.2411
B004KNWX8A,6,4.81,582.2952
B004KNWX1M,6,4.77,977.1788
B004KNWWOK,6,4.57,1420.7062
B004KNWWU4,6,4.76,15413.1315
B004KNWWTA,6,4.74,4210.1293
B004KNWX76,6,4.91,2123.65
B004KNWX08,6,4.9,377.2563
B004KNWX4O,6,4.83,2200.0633
B004KNWWTK,6,4.7,3006.425
B004KNWWRM,6,4.8,845.0778
B004LLIKVU,6,4.67,91948.93
B004LLIKVA,6,5.0,113.9018
B004LLIKWO,6,4.81,2638.593
B004LLIKW4,6,4.75,225.1598
B004LLIKY2,6,4.72,41780.7369
B004LLIL32,6,4.82,3270.4227
B004LLIKUQ,6,4.49,811.9443
B004LLIL78,6,4.87,992.6191
B004LLIL96,6,4.86,804.4262
B004LLIL6O,6,4.76,1109.4288
B004LLIL2I,6,4.81,16774.875
B004LLILD2,6,4.94,298.3108
B004LLIL6Y,6,4.88,1215.3234
B004LLIL14,6,5.0,130.6601
B004LLILAU,6,4.76,1502.9019
B004LLIL0K,6,4.66,598.7306
B004LLIL4G,6,4.74,21158.7837
B004LLIL6E,6,4.85,1349.1898
B004LLILG4,6,4.75,1782.3316
B004LLIL3C,6,4.8,3873.8976
B004LLILIM,6,4.65,433.3702
B004LLIL00,6,4.79,2977.7817
B004LLIL3M,6,4.81,4250.2442
B004LLIKYW,6,4.5,151.0922
B004LLILEG,6,4.73,2874.022
B004LLILN2,6,4.9,185.6427
B004LLILBY,6,4.75,3939.5277
B004LLILK0,6,4.7,2548.7802
B004LLILLO,6,4.76,2658.7843
B004LLILGO,6,4.74,20112.9816
B004LLILBO,6,4.96,490.8019
B004LLILO6,6,4.84,3633.2196
B004LLILC8,6,4.89,1649.8796
B004LLIL5U,6,4.77,4019.396
B004LLIL9Q,6,4.82,2006.2241
B004LLIL5K,6,4.94,1471.9144
B004LLILFK,6,4.75,1636.9407
B004LLILM8,6,4.72,2310.0398
B004LLILKU,6,4.74,429.9688
B004LLILMI,6,4.8,1332.5381
B004LLILQY,6,4.93,785.3239
B004LLIL8M,6,4.8,1298.7544
B004LLILI2,6,5.0,169.156
B004LLILKK,6,4.71,1769.5424
B004LLILFA,6,4.72,1247.5546
B004LLILPU,6,4.74,1352.3655
B004LLILF0,6,4.83,2759.2123
B004LLIL0A,6,4.86,1812.0576
B004LLIL5A,6,4.81,34381.6085
B004LLIL82,6,4.82,843.7372
B004LLILOG,6,4.67,2630.5407
B004LLIKZ6,6,4.65,808.4791
B004LLILCS,6,4.6,185.9521
B004LLILL4,6,4.92,486.9536
B004LLJ5SM,6,4.58,452.8574
B004LLJ636,6,5.0,38.0372
B004LLJ68Q,6,5.0,38.1007
B004LLJ6AE,6,4.81,798.8168
B004LLJ5Z0,6,5.0,38.0798
B004LLJ5UU,6,4.57,264.3828
B004LLJ6B8,6,4.89,1007.5367
B004LLJ64U,6,5.0,74.9767
B004LLJ640,6,5.0,57.1005
B004LLJ6FY,6,4.69,793.285
B004LLJ5YG,6,5.0,19.0688
B004LLJ5W8,6,5.0,19.0657
B004LLJ60Y,6,4.0,75.9098
B004LLJ6F4,6,4.86,133.4487
B004LLJ6P4,6,5.0,38.2785
B004LLJ6OA,6,5.0,37.5746
B004LLJ6QS,6,2.0,18.6474
B004LLJ6LI,6,4.89,170.3861
B004LLJ61I,6,5.0,18.8528
B004LLJ712,6,5.0,37.968
B004LLJ6U4,6,4.62,152.369
B004LLJ6MC,6,5.0,56.9841
B004LLJ65O,6,5.0,114.2694
B004LLJ6CM,6,5.0,76.1645
B004LLJ6YA,6,4.4,95.2149
B004LLJ5VE,6,5.0,19.0488
B004LLJ5TQ,6,4.78,436.0909
B004LLJ6K4,6,4.0,19.1783
B004LLJ67C,6,5.0,19.0547
B004LLJ6DQ,6,4.91,209.22
B004LLJ6H2,6,5.0,37.6336
B004LLJ6XG,6,4.44,1378.4832
B004LLJ5XM,6,5.0,18.9806
B004LLJ6VI,6,4.47,568.0669
B004LLJ66I,6,5.0,113.5123
B004LLJ6KO,6,5.0,37.9454
B004LLJ6JK,6,5.0,37.646
B004LLJ6RC,6,4.2,93.9095
B004LLJ6S6,6,4.67,56.7965
B004LLJ6GI,6,4.25,75.6811
B004LLJ6SQ,6,5.0,57.088
B004LLJ6EK,6,3.33,55.6953
B004LLJ6HW,6,5.0,75.7371
B004Q7CK9M,1,4.62,150359.4095
B004RCNH8E,6,5.0,19.1208
B004RCNH6Q,6,4.67,56.5502
B004RD95XE,6,3.0,75.9733
B004RD965G,6,5.0,56.5945
B004RD8XQE,6,4.11,360.109
B004RD8XPK,6,4.8,7796.3246
B004RD9ACA,6,4.77,3664.2938
B004RD967Y,6,3.92,228.8386
B004W8D102,6,4.68,4423.9252
B004W8D0Y4,6,4.82,15329.475
B004W8D0Z8,6,5.0,131.9467
B004WKPVUS,6,5.0,131.4349
B004WKPV3K,6,4.77,244.0868
B004WKPVOO,6,5.0,95.2804
B004WKPVBC,6,4.77,5021.0252
B0052A21O6,6,4.5,263.5397
B0052A20TC,6,4.63,559.6236
B0052A21MS,6,5.0,38.0819
B0054SDOLK,6,4.86,394.7083
B0054SODRE,6,4.86,132.7156
B005580FS4,6,4.55,412.04
B005580G0Q,6,5.0,19.1353
